,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,-0.2454124537285195,-0.074311026433308,1.3666309859325558,0.3619626312638637,0.40171373216542944
empty_diff,0.6002906265305559,-0.01130434960043658,2.8786159577127792,0.7775718436053445,1.0211678507626332
OG550_65mm_1_repinterp_ram,0.0008011122194853136,0.00982167923989552,0.7700559016103646,0.34582251298606764,0.34696929814546373
empty_repinterp_ram,-0.009082564636437036,-1.5518170972966538e-09,1.6992450154842929,0.2904342712888598,0.29091699148290545
OG550_65mm_1_repinterp_rum,0.08390053505855062,0.018789104477373808,1.531461505243262,0.39500792717206845,0.392492458172075
empty_repinterp_rum,-0.026301477464549042,0.0,2.137206607571863,0.35658719487048535,0.3566716613762996
OG550_65mm_1_repdiff_ram,-0.15630872791367828,-0.06922191526441424,0.925690064400665,0.4404732538256728,0.47949459901478586
empty_repdiff_ram,-0.026956022685946008,-0.02060374497171269,1.83809534737943,0.5008628275099513,0.5060282254254742
OG550_65mm_1_repdiff_rum,-0.1800491453018081,-0.12625096864202057,1.8931796880143739,0.5707344046402196,0.5655172378378266
empty_repdiff_rum,-0.04491209056076367,-0.01456246868889055,2.4630490424726736,0.5434455819508506,0.544163257078335
